,Mercedes,,Honda,,Ford,,BMW,,Toyota,
3820,16.5,3820,,,,,,,,
3530,25.4,3530,,,,,,,,
3250,30,3250,,,,,,,,
2489,,,24,2489,,,,,,
1795,,,33,1795,,,,,,
1795,,,33,1795,,,,,,
2045,,,31.5,2045,,,,,,
1800,,,36.1,1800,,,,,,
2135,,,29.5,2135,,,,,,
1850,,,44.6,1850,,,,,,
2290,,,32.4,2290,,,,,,
1760,,,35.1,1760,,,,,,
2210,,,33.7,2210,,,,,,
2205,,,36,2205,,,,,,
1965,,,38,1965,,,,,,
1965,,,32,1965,,,,,,
3449,,,,,17,3449,,,,
4341,,,,,15,4341,,,,
4034,,,,,,4034,,,,
3353,,,,,,3353,,,,
2587,,,,,21,2587,,,,
4615,,,,,10,4615,,,,
2046,,,,,25,2046,,,,
3302,,,,,19,3302,,,,
4154,,,,,14,4154,,,,
4746,,,,,13,4746,,,,
3139,,,,,18,3139,,,,
2226,,,,,21,2226,,,,
4129,,,,,14,4129,,,,
4294,,,,,13,4294,,,,
2395,,,,,22,2395,,,,
4042,,,,,14,4042,,,,
4363,,,,,13,4363,,,,
3021,,,,,18,3021,,,,
4906,,,,,12,4906,,,,
2310,,,,,19,2310,,,,
2875,,,,,21,2875,,,,
2451,,,,,26,2451,,,,
4141,,,,,16,4141,,,,
4638,,,,,14,4638,,,,
3158,,,,,15,3158,,,,
4657,,,,,14,4657,,,,
3169,,,,,13,3169,,,,
2639,,,,,23,2639,,,,
2984,,,,,18,2984,,,,
4215,,,,,14.5,4215,,,,
3012,,,,,24,3012,,,,
3574,,,,,18,3574,,,,
2565,,,,,26.5,2565,,,,
3870,,,,,13,3870,,,,
3525,,,,,18.5,3525,,,,
4335,,,,,16,4335,,,,
2755,,,,,25.5,2755,,,,
1800,,,,,36.1,1800,,,,
2965,,,,,20.2,2965,,,,
2720,,,,,25.1,2720,,,,
3205,,,,,18.1,3205,,,,
2890,,,,,22.3,2890,,,,
3725,,,,,17.6,3725,,,,
4054,,,,,15.5,4054,,,,
2870,,,,,26.4,2870,,,,
2905,,,,,23.6,2905,,,,
2045,,,,,34.4,2045,,,,
2380,,,,,29.9,2380,,,,
3060,,,,,20.2,3060,,,,
2865,,,,,24,2865,,,,
2835,,,,,22,2835,,,,
2790,,,,,27,2790,,,,
2625,,,,,28,2625,,,,
2234,,,,,,,26,2234,,
2600,,,,,,,21.5,2600,,
2372,,,,,,,,,24,2372
2228,,,,,,,,,25,2228
1773,,,,,,,,,31,1773
2278,,,,,,,,,24,2278
2506,,,,,,,,,23,2506
2100,,,,,,,,,27,2100
2279,,,,,,,,,20,2279
2807,,,,,,,,,20,2807
1836,,,,,,,,,32,1836
1649,,,,,,,,,31,1649
2171,,,,,,,,,29,2171
2702,,,,,,,,,24,2702
2155,,,,,,,,,28,2155
2930,,,,,,,,,19,2930
2265,,,,,,,,,26,2265
2560,,,,,,,,,27.5,2560
2515,,,,,,,,,21.1,2515
1968,,,,,,,,,38.1,1968
2711,,,,,,,,,29.8,2711
2265,,,,,,,,,32.2,2265
1755,,,,,,,,,39.1,1755
2050,,,,,,,,,37.7,2050
2350,,,,,,,,,32.4,2350
2900,,,,,,,,,25.4,2900
2245,,,,,,,,,34,2245
2665,,,,,,,,,32,2665
